68,Supply Chain and Marketing of FPO,Agri and Farm,Shasha
69,Robots for homogenizing contents of Septic Tanks,Environment,Shasha
70,Assets creation for Research and Development at IIT Madras,Environment,Shasha
71,Converting spent zinc-carbon and zinc based alkaline batteries,Environment,Shasha
72,A Starch based bio plastic to address solid waste accumulation,Environment,Shasha
73,Evaluating Sustainable Options for Cement Production in India,Environment,Shasha
74,Extraction of Valuable Products from Flexible Pavement Waste,Environment,Shasha
75,Fabrication of Paver Blocks for Low-Volume Rural Roads from Deteriorated Pavements,Environment,Shasha
76,A Low CO2 Cement for Sustainable and Durable Concrete,Environment,Shasha
77,Reduction of the Water Footprint of Concrete Construction through the Use of Wastewater,Environment,Shasha
78,Tackling Air and Water Pollution through Judicious Material Design and Processes Innovation,Environment,Shasha
79,Livelihood Improvement of Stone-carving Communities in Mahabalipuram,Environment,Shasha
80,"An integrative-modular-onsite toilet treatment for NPK fertilizer, carbon and water recovery",Environment,Shasha
81,Development of Distributed Hydrothermal Liquefaction (HTL) System,Environment,Shasha
82,?Hermes? Hydrogen-Powered Autonomous Surface Vehicles for Inland Waterways,Environment,Shasha
83,Carbon Zero PreIncubation Program,Environment,Shasha
84,Coordinated drone fleet to go after the problem of New Delhi?s air pollution,Environment,Shasha
85,Air Pollution Management Entrepreneurship Competition,Environment,Shasha
86,Waste Management Entrepreneurship Competition,Environment,Shasha
87,Water Pollution Management Entrepreneurship Competition,Environment,Shasha
88,High Altitude Lab at Munnar,Environment,Shasha
89,E-waste to Wealth: Process Technology for Synthesis of Nano-particles,Environment,Shasha
90,Reducing environmental impact of steel industries by recovering waste heat from,Environment,Shasha
91,"Wastewater Collection, Treatment and Recirculation Truck",Environment,Shasha
92,Developing Sustainable Strategies for Peri-Urban Development: Sriperumbudur,Environment,Shasha
93,On-demand transport service meters as micro-agents for data collection in smart,Environment,Shasha
94,CSR Funding for R&D in Infrastructure Delivery,Environment,Shasha
95,An indigenous device for target thermal therapy,Health,Sayan
96,Developing low-cost natural product-based drugs for Parkinson?s disease,Health,Sayan
97,Development of indigenous portable wearable TTF,Health,Sayan
98,Early detection of Fetal Congenital Heart Disease,Health,Sayan
99,Evaluation of a small ribonucleic acid as a novel cholesterol-lowering agent,Health,Sayan
100,Identification of functional therapeutic oncogenic signaling kinases,Health,Sayan
101,Institute Animal House Instrument Facility,Health,Sayan
102,Man power development in the area of calibration of medical devices,Health,Sayan
103,Neurodiversity in the workplace,Health,Sayan
104,Re-purposing of Herbal and Ayurvedic formulations,Health,Sayan
105,Surgical Robotic Trainer for Indian hospitals,Health,Sayan
106,Development of exoskeleton for power augmentation,Health,Sayan
107,Development of Effective Formulations for algal Omega 3 fatty acids,Health,Sayan
108,Identification of novel lead bioactive anti-cancer molecules from various natural resources,Health,Sayan
109,IITM Med-Tech Incubator,Health,Sayan
110,Haryana Air Pollution and Pregnancy (HAPPy) study An IIT-Madras - THSTI,Health,Sayan
111,Assessing the Health Hazards and Conditions among the Tribals of North-EastIndia,Health,Sayan
112,Cervical Cancer Screening - An AI based digital microscope,Health,Sayan
113,Free ware for Brain Lesion Analysis,Health,Sayan
114,Determining the prevalence of Fanconi Anemia among Indian population by using,Health,Sayan
115,Preparation of a scholarly Monograph/Compendium on the physico?bio- chemical,Health,Sayan
116,Monitoring and Improving Health of Rural SC Communities Using IT Tools,Health,Sayan
117,Novel Technology for Training in Reduction of Infant Mortality Rate in Rural IND,Health,Sayan
118,Laser additive manufacturing of functionally-gradient knee implant,Health,Sayan
119,Empowering nadi diagnosis - towards broader public acceptance,Health,Sayan
120,Centre for Rehabilitation Engineering and Assistive Technology (CREATE),Health,Sayan
121,Healthcare Technology Innovation Centre,Health,Sayan
122,"Food for Healthy Brain, 3 years, Rs. 85 lakhs, Prof. Amal Kanti Behra",Health,Sayan
123,Organ Donation & Role of Society,Health,Sayan
124,Working Women and Health,Health,Sayan
